,question,question_id,question_type,answer
0,What is Activated Charcoal ?,0000001-1,information,
1,How effective is Activated Charcoal ?,0000001-2,how effective is it,
2,What is the action of Activated Charcoal and how does it work ?,0000001-3,how does it work,
3,Are there safety concerns or special precautions about Activated Charcoal ?,0000001-4,precautions,
4,Are there interactions between Activated Charcoal and other medications ?,0000001-5,interactions with medications,
5,Are there interactions between Activated Charcoal and herbs and supplements ?,0000001-6,interactions with herbs and supplements,
6,Are there interactions between Activated Charcoal and foods ?,0000001-7,interactions with foods,
7,What is the dosage of Activated Charcoal ?,0000001-8,dose,
0,What is Alfalfa ?,0000002-1,information,
1,How effective is Alfalfa ?,0000002-2,how effective is it,
2,What is the action of Alfalfa and how does it work ?,0000002-3,how does it work,
3,Are there safety concerns or special precautions about Alfalfa ?,0000002-4,precautions,
4,Are there interactions between Alfalfa and other medications ?,0000002-5,interactions with medications,
5,Are there interactions between Alfalfa and herbs and supplements ?,0000002-6,interactions with herbs and supplements,
6,Are there interactions between Alfalfa and foods ?,0000002-7,interactions with foods,
7,What is the dosage of Alfalfa ?,0000002-8,dose,
0,What is American ginseng ?,0000003-1,information,
1,How effective is American ginseng ?,0000003-2,how effective is it,
2,What is the action of American ginseng and how does it work ?,0000003-3,how does it work,
3,Are there safety concerns or special precautions about American ginseng ?,0000003-4,precautions,
4,Are there interactions between American ginseng and other medications ?,0000003-5,interactions with medications,
5,Are there interactions between American ginseng and herbs and supplements ?,0000003-6,interactions with herbs and supplements,
6,Are there interactions between American ginseng and foods ?,0000003-7,interactions with foods,
7,What is the dosage of American ginseng ?,0000003-8,dose,
0,What is Arnica ?,0000004-1,information,
1,How effective is Arnica ?,0000004-2,how effective is it,
2,What is the action of Arnica and how does it work ?,0000004-3,how does it work,
3,Are there safety concerns or special precautions about Arnica ?,0000004-4,precautions,
4,Are there interactions between Arnica and other medications ?,0000004-5,interactions with medications,
5,Are there interactions between Arnica and herbs and supplements ?,0000004-6,interactions with herbs and supplements,
6,Are there interactions between Arnica and foods ?,0000004-7,interactions with foods,
7,What is the dosage of Arnica ?,0000004-8,dose,
0,What is Ashwagandha ?,0000005-1,information,
1,How effective is Ashwagandha ?,0000005-2,how effective is it,
2,What is the action of Ashwagandha and how does it work ?,0000005-3,how does it work,
3,Are there safety concerns or special precautions about Ashwagandha ?,0000005-4,precautions,
4,Are there interactions between Ashwagandha and other medications ?,0000005-5,interactions with medications,
5,Are there interactions between Ashwagandha and herbs and supplements ?,0000005-6,interactions with herbs and supplements,
6,Are there interactions between Ashwagandha and foods ?,0000005-7,interactions with foods,
7,What is the dosage of Ashwagandha ?,0000005-8,dose,
0,What is Bacillus coagulans ?,0000006-1,information,
1,How effective is Bacillus coagulans ?,0000006-2,how effective is it,
2,What is the action of Bacillus coagulans and how does it work ?,0000006-3,how does it work,
3,Are there safety concerns or special precautions about Bacillus coagulans ?,0000006-4,precautions,
4,Are there interactions between Bacillus coagulans and other medications ?,0000006-5,interactions with medications,
5,Are there interactions between Bacillus coagulans and herbs and supplements ?,0000006-6,interactions with herbs and supplements,
6,Are there interactions between Bacillus coagulans and foods ?,0000006-7,interactions with foods,
7,What is the dosage of Bacillus coagulans ?,0000006-8,dose,
0,What is Bee Pollen ?,0000007-1,information,
1,How effective is Bee Pollen ?,0000007-2,how effective is it,
2,What is the action of Bee Pollen and how does it work ?,0000007-3,how does it work,
3,Are there safety concerns or special precautions about Bee Pollen ?,0000007-4,precautions,
4,Are there interactions between Bee Pollen and other medications ?,0000007-5,interactions with medications,
5,Are there interactions between Bee Pollen and herbs and supplements ?,0000007-6,interactions with herbs and supplements,
6,Are there interactions between Bee Pollen and foods ?,0000007-7,interactions with foods,
7,What is the dosage of Bee Pollen ?,0000007-8,dose,
0,What is Belladonna ?,0000008-1,information,
1,How effective is Belladonna ?,0000008-2,how effective is it,
2,What is the action of Belladonna and how does it work ?,0000008-3,how does it work,
3,Are there safety concerns or special precautions about Belladonna ?,0000008-4,precautions,
4,Are there interactions between Belladonna and other medications ?,0000008-5,interactions with medications,
5,Are there interactions between Belladonna and herbs and supplements ?,0000008-6,interactions with herbs and supplements,
6,Are there interactions between Belladonna and foods ?,0000008-7,interactions with foods,
7,What is the dosage of Belladonna ?,0000008-8,dose,
0,What is Berberine ?,0000009-1,information,
1,How effective is Berberine ?,0000009-2,how effective is it,
2,What is the action of Berberine and how does it work ?,0000009-3,how does it work,
3,Are there safety concerns or special precautions about Berberine ?,0000009-4,precautions,
4,Are there interactions between Berberine and other medications ?,0000009-5,interactions with medications,
5,Are there interactions between Berberine and herbs and supplements ?,0000009-6,interactions with herbs and supplements,
6,Are there interactions between Berberine and foods ?,0000009-7,interactions with foods,
7,What is the dosage of Berberine ?,0000009-8,dose,
0,What is Beta-carotene ?,0000010-1,information,
1,How effective is Beta-carotene ?,0000010-2,how effective is it,
2,What is the action of Beta-carotene and how does it work ?,0000010-3,how does it work,
3,Are there safety concerns or special precautions about Beta-carotene ?,0000010-4,precautions,
4,Are there interactions between Beta-carotene and other medications ?,0000010-5,interactions with medications,
5,Are there interactions between Beta-carotene and herbs and supplements ?,0000010-6,interactions with herbs and supplements,
6,Are there interactions between Beta-carotene and foods ?,0000010-7,interactions with foods,
7,What is the dosage of Beta-carotene ?,0000010-8,dose,
0,What is Bifidobacteria ?,0000011-1,information,
1,How effective is Bifidobacteria ?,0000011-2,how effective is it,
2,What is the action of Bifidobacteria and how does it work ?,0000011-3,how does it work,
3,Are there safety concerns or special precautions about Bifidobacteria ?,0000011-4,precautions,
4,Are there interactions between Bifidobacteria and other medications ?,0000011-5,interactions with medications,
5,Are there interactions between Bifidobacteria and herbs and supplements ?,0000011-6,interactions with herbs and supplements,
6,Are there interactions between Bifidobacteria and foods ?,0000011-7,interactions with foods,
7,What is the dosage of Bifidobacteria ?,0000011-8,dose,
0,What is Biotin ?,0000012-1,information,
1,How effective is Biotin ?,0000012-2,how effective is it,
2,What is the action of Biotin and how does it work ?,0000012-3,how does it work,
3,Are there safety concerns or special precautions about Biotin ?,0000012-4,precautions,
4,Are there interactions between Biotin and other medications ?,0000012-5,interactions with medications,
5,Are there interactions between Biotin and herbs and supplements ?,0000012-6,interactions with herbs and supplements,
6,Are there interactions between Biotin and foods ?,0000012-7,interactions with foods,
7,What is the dosage of Biotin ?,0000012-8,dose,
0,What is Bitter Melon ?,0000013-1,information,
1,How effective is Bitter Melon ?,0000013-2,how effective is it,
2,What is the action of Bitter Melon and how does it work ?,0000013-3,how does it work,
3,Are there safety concerns or special precautions about Bitter Melon ?,0000013-4,precautions,
4,Are there interactions between Bitter Melon and other medications ?,0000013-5,interactions with medications,
5,Are there interactions between Bitter Melon and herbs and supplements ?,0000013-6,interactions with herbs and supplements,
6,Are there interactions between Bitter Melon and foods ?,0000013-7,interactions with foods,
7,What is the dosage of Bitter Melon ?,0000013-8,dose,
0,What is Black psyllium ?,0000014-1,information,
1,How effective is Black psyllium ?,0000014-2,how effective is it,
2,What is the action of Black psyllium and how does it work ?,0000014-3,how does it work,
3,Are there safety concerns or special precautions about Black psyllium ?,0000014-4,precautions,
4,Are there interactions between Black psyllium and other medications ?,0000014-5,interactions with medications,
5,Are there interactions between Black psyllium and herbs and supplements ?,0000014-6,interactions with herbs and supplements,
6,Are there interactions between Black psyllium and foods ?,0000014-7,interactions with foods,
7,What is the dosage of Black psyllium ?,0000014-8,dose,
0,What is Black tea ?,0000015-1,information,
1,How effective is Black tea ?,0000015-2,how effective is it,
2,What is the action of Black tea and how does it work ?,0000015-3,how does it work,
3,Are there safety concerns or special precautions about Black tea ?,0000015-4,precautions,
4,Are there interactions between Black tea and other medications ?,0000015-5,interactions with medications,
5,Are there interactions between Black tea and herbs and supplements ?,0000015-6,interactions with herbs and supplements,
6,Are there interactions between Black tea and foods ?,0000015-7,interactions with foods,
7,What is the dosage of Black tea ?,0000015-8,dose,
0,What is Bladderwrack ?,0000016-1,information,
1,How effective is Bladderwrack ?,0000016-2,how effective is it,
2,What is the action of Bladderwrack and how does it work ?,0000016-3,how does it work,
3,Are there safety concerns or special precautions about Bladderwrack ?,0000016-4,precautions,
4,Are there interactions between Bladderwrack and other medications ?,0000016-5,interactions with medications,
5,Are there interactions between Bladderwrack and herbs and supplements ?,0000016-6,interactions with herbs and supplements,
6,Are there interactions between Bladderwrack and foods ?,0000016-7,interactions with foods,
7,What is the dosage of Bladderwrack ?,0000016-8,dose,
0,What is Blessed thistle ?,0000017-1,information,
1,How effective is Blessed thistle ?,0000017-2,how effective is it,
2,What is the action of Blessed thistle and how does it work ?,0000017-3,how does it work,
3,Are there safety concerns or special precautions about Blessed thistle ?,0000017-4,precautions,
4,Are there interactions between Blessed thistle and other medications ?,0000017-5,interactions with medications,
5,Are there interactions between Blessed thistle and herbs and supplements ?,0000017-6,interactions with herbs and supplements,
6,Are there interactions between Blessed thistle and foods ?,0000017-7,interactions with foods,
7,What is the dosage of Blessed thistle ?,0000017-8,dose,
0,What is Blond psyllium ?,0000018-1,information,
1,How effective is Blond psyllium ?,0000018-2,how effective is it,
2,What is the action of Blond psyllium and how does it work ?,0000018-3,how does it work,
3,Are there safety concerns or special precautions about Blond psyllium ?,0000018-4,precautions,
4,Are there interactions between Blond psyllium and other medications ?,0000018-5,interactions with medications,
5,Are there interactions between Blond psyllium and herbs and supplements ?,0000018-6,interactions with herbs and supplements,
6,Are there interactions between Blond psyllium and foods ?,0000018-7,interactions with foods,
7,What is the dosage of Blond psyllium ?,0000018-8,dose,
0,What is Blueberry ?,0000019-1,information,
1,How effective is Blueberry ?,0000019-2,how effective is it,
2,What is the action of Blueberry and how does it work ?,0000019-3,how does it work,
3,Are there safety concerns or special precautions about Blueberry ?,0000019-4,precautions,
4,Are there interactions between Blueberry and other medications ?,0000019-5,interactions with medications,
5,Are there interactions between Blueberry and herbs and supplements ?,0000019-6,interactions with herbs and supplements,
6,Are there interactions between Blueberry and foods ?,0000019-7,interactions with foods,
7,What is the dosage of Blueberry ?,0000019-8,dose,
0,What is Blue-green algae ?,0000020-1,information,
1,How effective is Blue-green algae ?,0000020-2,how effective is it,
2,What is the action of Blue-green algae and how does it work ?,0000020-3,how does it work,
3,Are there safety concerns or special precautions about Blue-green algae ?,0000020-4,precautions,
4,Are there interactions between Blue-green algae and other medications ?,0000020-5,interactions with medications,
5,Are there interactions between Blue-green algae and herbs and supplements ?,0000020-6,interactions with herbs and supplements,
6,Are there interactions between Blue-green algae and foods ?,0000020-7,interactions with foods,
7,What is the dosage of Blue-green algae ?,0000020-8,dose,
0,What is Boron ?,0000021-1,information,
1,How effective is Boron ?,0000021-2,how effective is it,
2,What is the action of Boron and how does it work ?,0000021-3,how does it work,
3,Are there safety concerns or special precautions about Boron ?,0000021-4,precautions,
4,Are there interactions between Boron and other medications ?,0000021-5,interactions with medications,
5,Are there interactions between Boron and herbs and supplements ?,0000021-6,interactions with herbs and supplements,
6,Are there interactions between Boron and foods ?,0000021-7,interactions with foods,
7,What is the dosage of Boron ?,0000021-8,dose,
0,What is Calendula ?,0000022-1,information,
1,How effective is Calendula ?,0000022-2,how effective is it,
2,What is the action of Calendula and how does it work ?,0000022-3,how does it work,
3,Are there safety concerns or special precautions about Calendula ?,0000022-4,precautions,
4,Are there interactions between Calendula and other medications ?,0000022-5,interactions with medications,
5,Are there interactions between Calendula and herbs and supplements ?,0000022-6,interactions with herbs and supplements,
6,Are there interactions between Calendula and foods ?,0000022-7,interactions with foods,
7,What is the dosage of Calendula ?,0000022-8,dose,
0,What is Cannabidiol ?,0000023-1,information,
1,How effective is Cannabidiol ?,0000023-2,how effective is it,
2,What is the action of Cannabidiol and how does it work ?,0000023-3,how does it work,
3,Are there safety concerns or special precautions about Cannabidiol ?,0000023-4,precautions,
4,Are there interactions between Cannabidiol and other medications ?,0000023-5,interactions with medications,
5,Are there interactions between Cannabidiol and herbs and supplements ?,0000023-6,interactions with herbs and supplements,
6,Are there interactions between Cannabidiol and foods ?,0000023-7,interactions with foods,
7,What is the dosage of Cannabidiol ?,0000023-8,dose,
0,What is Capsicum ?,0000024-1,information,
1,How effective is Capsicum ?,0000024-2,how effective is it,
2,What is the action of Capsicum and how does it work ?,0000024-3,how does it work,
3,Are there safety concerns or special precautions about Capsicum ?,0000024-4,precautions,
4,Are there interactions between Capsicum and other medications ?,0000024-5,interactions with medications,
5,Are there interactions between Capsicum and herbs and supplements ?,0000024-6,interactions with herbs and supplements,
6,Are there interactions between Capsicum and foods ?,0000024-7,interactions with foods,
7,What is the dosage of Capsicum ?,0000024-8,dose,
0,What is Cascara ?,0000025-1,information,
1,How effective is Cascara ?,0000025-2,how effective is it,
2,What is the action of Cascara and how does it work ?,0000025-3,how does it work,
3,Are there safety concerns or special precautions about Cascara ?,0000025-4,precautions,
4,Are there interactions between Cascara and other medications ?,0000025-5,interactions with medications,
5,Are there interactions between Cascara and herbs and supplements ?,0000025-6,interactions with herbs and supplements,
6,Are there interactions between Cascara and foods ?,0000025-7,interactions with foods,
7,What is the dosage of Cascara ?,0000025-8,dose,
0,What is Chondroitin sulfate ?,0000026-1,information,
1,How effective is Chondroitin sulfate ?,0000026-2,how effective is it,
2,What is the action of Chondroitin sulfate and how does it work ?,0000026-3,how does it work,
3,Are there safety concerns or special precautions about Chondroitin sulfate ?,0000026-4,precautions,
4,Are there interactions between Chondroitin sulfate and other medications ?,0000026-5,interactions with medications,
5,Are there interactions between Chondroitin sulfate and herbs and supplements ?,0000026-6,interactions with herbs and supplements,
6,Are there interactions between Chondroitin sulfate and foods ?,0000026-7,interactions with foods,
7,What is the dosage of Chondroitin sulfate ?,0000026-8,dose,
0,What is Clove ?,0000027-1,information,
1,How effective is Clove ?,0000027-2,how effective is it,
2,What is the action of Clove and how does it work ?,0000027-3,how does it work,
3,Are there safety concerns or special precautions about Clove ?,0000027-4,precautions,
4,Are there interactions between Clove and other medications ?,0000027-5,interactions with medications,
5,Are there interactions between Clove and herbs and supplements ?,0000027-6,interactions with herbs and supplements,
6,Are there interactions between Clove and foods ?,0000027-7,interactions with foods,
7,What is the dosage of Clove ?,0000027-8,dose,
0,What is Coconut Oil ?,0000028-1,information,
1,How effective is Coconut Oil ?,0000028-2,how effective is it,
2,What is the action of Coconut Oil and how does it work ?,0000028-3,how does it work,
3,Are there safety concerns or special precautions about Coconut Oil ?,0000028-4,precautions,
4,Are there interactions between Coconut Oil and other medications ?,0000028-5,interactions with medications,
5,Are there interactions between Coconut Oil and herbs and supplements ?,0000028-6,interactions with herbs and supplements,
6,Are there interactions between Coconut Oil and foods ?,0000028-7,interactions with foods,
7,What is the dosage of Coconut Oil ?,0000028-8,dose,
0,What is Coconut Water ?,0000029-1,information,
1,How effective is Coconut Water ?,0000029-2,how effective is it,
2,What is the action of Coconut Water and how does it work ?,0000029-3,how does it work,
3,Are there safety concerns or special precautions about Coconut Water ?,0000029-4,precautions,
4,Are there interactions between Coconut Water and other medications ?,0000029-5,interactions with medications,
5,Are there interactions between Coconut Water and herbs and supplements ?,0000029-6,interactions with herbs and supplements,
6,Are there interactions between Coconut Water and foods ?,0000029-7,interactions with foods,
7,What is the dosage of Coconut Water ?,0000029-8,dose,
0,What is Cod Liver Oil ?,0000030-1,information,
1,How effective is Cod Liver Oil ?,0000030-2,how effective is it,
2,What is the action of Cod Liver Oil and how does it work ?,0000030-3,how does it work,
3,Are there safety concerns or special precautions about Cod Liver Oil ?,0000030-4,precautions,
4,Are there interactions between Cod Liver Oil and other medications ?,0000030-5,interactions with medications,
5,Are there interactions between Cod Liver Oil and herbs and supplements ?,0000030-6,interactions with herbs and supplements,
6,Are there interactions between Cod Liver Oil and foods ?,0000030-7,interactions with foods,
7,What is the dosage of Cod Liver Oil ?,0000030-8,dose,
0,What is Creatine ?,0000031-1,information,
1,How effective is Creatine ?,0000031-2,how effective is it,
2,What is the action of Creatine and how does it work ?,0000031-3,how does it work,
3,Are there safety concerns or special precautions about Creatine ?,0000031-4,precautions,
4,Are there interactions between Creatine and other medications ?,0000031-5,interactions with medications,
5,Are there interactions between Creatine and herbs and supplements ?,0000031-6,interactions with herbs and supplements,
6,Are there interactions between Creatine and foods ?,0000031-7,interactions with foods,
7,What is the dosage of Creatine ?,0000031-8,dose,
0,What is Deer Velvet ?,0000032-1,information,
1,How effective is Deer Velvet ?,0000032-2,how effective is it,
2,What is the action of Deer Velvet and how does it work ?,0000032-3,how does it work,
3,Are there safety concerns or special precautions about Deer Velvet ?,0000032-4,precautions,
4,Are there interactions between Deer Velvet and other medications ?,0000032-5,interactions with medications,
5,Are there interactions between Deer Velvet and herbs and supplements ?,0000032-6,interactions with herbs and supplements,
6,Are there interactions between Deer Velvet and foods ?,0000032-7,interactions with foods,
7,What is the dosage of Deer Velvet ?,0000032-8,dose,
0,What is Devil's claw ?,0000033-1,information,
1,How effective is Devil's claw ?,0000033-2,how effective is it,
2,What is the action of Devil's claw and how does it work ?,0000033-3,how does it work,
3,Are there safety concerns or special precautions about Devil's claw ?,0000033-4,precautions,
4,Are there interactions between Devil's claw and other medications ?,0000033-5,interactions with medications,
5,Are there interactions between Devil's claw and herbs and supplements ?,0000033-6,interactions with herbs and supplements,
6,Are there interactions between Devil's claw and foods ?,0000033-7,interactions with foods,
7,What is the dosage of Devil's claw ?,0000033-8,dose,
0,What is DHEA ?,0000034-1,information,
1,How effective is DHEA ?,0000034-2,how effective is it,
2,What is the action of DHEA and how does it work ?,0000034-3,how does it work,
3,Are there safety concerns or special precautions about DHEA ?,0000034-4,precautions,
4,Are there interactions between DHEA and other medications ?,0000034-5,interactions with medications,
5,Are there interactions between DHEA and herbs and supplements ?,0000034-6,interactions with herbs and supplements,
6,Are there interactions between DHEA and foods ?,0000034-7,interactions with foods,
7,What is the dosage of DHEA ?,0000034-8,dose,
0,What is Dong quai ?,0000035-1,information,
1,How effective is Dong quai ?,0000035-2,how effective is it,
2,What is the action of Dong quai and how does it work ?,0000035-3,how does it work,
3,Are there safety concerns or special precautions about Dong quai ?,0000035-4,precautions,
4,Are there interactions between Dong quai and other medications ?,0000035-5,interactions with medications,
5,Are there interactions between Dong quai and herbs and supplements ?,0000035-6,interactions with herbs and supplements,
6,Are there interactions between Dong quai and foods ?,0000035-7,interactions with foods,
7,What is the dosage of Dong quai ?,0000035-8,dose,
0,What is Eucalyptus ?,0000036-1,information,
1,How effective is Eucalyptus ?,0000036-2,how effective is it,
2,What is the action of Eucalyptus and how does it work ?,0000036-3,how does it work,
3,Are there safety concerns or special precautions about Eucalyptus ?,0000036-4,precautions,
4,Are there interactions between Eucalyptus and other medications ?,0000036-5,interactions with medications,
5,Are there interactions between Eucalyptus and herbs and supplements ?,0000036-6,interactions with herbs and supplements,
6,Are there interactions between Eucalyptus and foods ?,0000036-7,interactions with foods,
7,What is the dosage of Eucalyptus ?,0000036-8,dose,
0,What is Folic acid ?,0000037-1,information,
1,How effective is Folic acid ?,0000037-2,how effective is it,
2,What is the action of Folic acid and how does it work ?,0000037-3,how does it work,
3,Are there safety concerns or special precautions about Folic acid ?,0000037-4,precautions,
4,Are there interactions between Folic acid and other medications ?,0000037-5,interactions with medications,
5,Are there interactions between Folic acid and herbs and supplements ?,0000037-6,interactions with herbs and supplements,
6,Are there interactions between Folic acid and foods ?,0000037-7,interactions with foods,
7,What is the dosage of Folic acid ?,0000037-8,dose,
0,What is Gelatin ?,0000038-1,information,
1,How effective is Gelatin ?,0000038-2,how effective is it,
2,What is the action of Gelatin and how does it work ?,0000038-3,how does it work,
3,Are there safety concerns or special precautions about Gelatin ?,0000038-4,precautions,
4,Are there interactions between Gelatin and other medications ?,0000038-5,interactions with medications,
5,Are there interactions between Gelatin and herbs and supplements ?,0000038-6,interactions with herbs and supplements,
6,Are there interactions between Gelatin and foods ?,0000038-7,interactions with foods,
7,What is the dosage of Gelatin ?,0000038-8,dose,
0,"What is Ginseng, Siberian ?",0000039-1,information,
1,"How effective is Ginseng, Siberian ?",0000039-2,how effective is it,
2,"What is the action of Ginseng, Siberian and how does it work ?",0000039-3,how does it work,
3,"Are there safety concerns or special precautions about Ginseng, Siberian ?",0000039-4,precautions,
4,"Are there interactions between Ginseng, Siberian and other medications ?",0000039-5,interactions with medications,
5,"Are there interactions between Ginseng, Siberian and herbs and supplements ?",0000039-6,interactions with herbs and supplements,
6,"Are there interactions between Ginseng, Siberian and foods ?",0000039-7,interactions with foods,
7,"What is the dosage of Ginseng, Siberian ?",0000039-8,dose,
0,What is Glucosamine hydrochloride ?,0000040-1,information,
1,How effective is Glucosamine hydrochloride ?,0000040-2,how effective is it,
2,What is the action of Glucosamine hydrochloride and how does it work ?,0000040-3,how does it work,
3,Are there safety concerns or special precautions about Glucosamine hydrochloride ?,0000040-4,precautions,
4,Are there interactions between Glucosamine hydrochloride and other medications ?,0000040-5,interactions with medications,
5,Are there interactions between Glucosamine hydrochloride and herbs and supplements ?,0000040-6,interactions with herbs and supplements,
6,Are there interactions between Glucosamine hydrochloride and foods ?,0000040-7,interactions with foods,
7,What is the dosage of Glucosamine hydrochloride ?,0000040-8,dose,
0,What is Glucosamine sulfate ?,0000041-1,information,
1,How effective is Glucosamine sulfate ?,0000041-2,how effective is it,
2,What is the action of Glucosamine sulfate and how does it work ?,0000041-3,how does it work,
3,Are there safety concerns or special precautions about Glucosamine sulfate ?,0000041-4,precautions,
4,Are there interactions between Glucosamine sulfate and other medications ?,0000041-5,interactions with medications,
5,Are there interactions between Glucosamine sulfate and herbs and supplements ?,0000041-6,interactions with herbs and supplements,
6,Are there interactions between Glucosamine sulfate and foods ?,0000041-7,interactions with foods,
7,What is the dosage of Glucosamine sulfate ?,0000041-8,dose,
0,What is Goji ?,0000042-1,information,
1,How effective is Goji ?,0000042-2,how effective is it,
2,What is the action of Goji and how does it work ?,0000042-3,how does it work,
3,Are there safety concerns or special precautions about Goji ?,0000042-4,precautions,
4,Are there interactions between Goji and other medications ?,0000042-5,interactions with medications,
5,Are there interactions between Goji and herbs and supplements ?,0000042-6,interactions with herbs and supplements,
6,Are there interactions between Goji and foods ?,0000042-7,interactions with foods,
7,What is the dosage of Goji ?,0000042-8,dose,
0,What is Grape ?,0000043-1,information,
1,How effective is Grape ?,0000043-2,how effective is it,
2,What is the action of Grape and how does it work ?,0000043-3,how does it work,
3,Are there safety concerns or special precautions about Grape ?,0000043-4,precautions,
4,Are there interactions between Grape and other medications ?,0000043-5,interactions with medications,
5,Are there interactions between Grape and herbs and supplements ?,0000043-6,interactions with herbs and supplements,
6,Are there interactions between Grape and foods ?,0000043-7,interactions with foods,
7,What is the dosage of Grape ?,0000043-8,dose,
0,What is Grapefruit ?,0000044-1,information,
1,How effective is Grapefruit ?,0000044-2,how effective is it,
2,What is the action of Grapefruit and how does it work ?,0000044-3,how does it work,
3,Are there safety concerns or special precautions about Grapefruit ?,0000044-4,precautions,
4,Are there interactions between Grapefruit and other medications ?,0000044-5,interactions with medications,
5,Are there interactions between Grapefruit and herbs and supplements ?,0000044-6,interactions with herbs and supplements,
6,Are there interactions between Grapefruit and foods ?,0000044-7,interactions with foods,
7,What is the dosage of Grapefruit ?,0000044-8,dose,
0,What is Green Coffee ?,0000045-1,information,
1,How effective is Green Coffee ?,0000045-2,how effective is it,
2,What is the action of Green Coffee and how does it work ?,0000045-3,how does it work,
3,Are there safety concerns or special precautions about Green Coffee ?,0000045-4,precautions,
4,Are there interactions between Green Coffee and other medications ?,0000045-5,interactions with medications,
5,Are there interactions between Green Coffee and herbs and supplements ?,0000045-6,interactions with herbs and supplements,
6,Are there interactions between Green Coffee and foods ?,0000045-7,interactions with foods,
7,What is the dosage of Green Coffee ?,0000045-8,dose,
0,What is Guarana ?,0000046-1,information,
1,How effective is Guarana ?,0000046-2,how effective is it,
2,What is the action of Guarana and how does it work ?,0000046-3,how does it work,
3,Are there safety concerns or special precautions about Guarana ?,0000046-4,precautions,
4,Are there interactions between Guarana and other medications ?,0000046-5,interactions with medications,
5,Are there interactions between Guarana and herbs and supplements ?,0000046-6,interactions with herbs and supplements,
6,Are there interactions between Guarana and foods ?,0000046-7,interactions with foods,
7,What is the dosage of Guarana ?,0000046-8,dose,
0,What is Gymnema ?,0000047-1,information,
1,How effective is Gymnema ?,0000047-2,how effective is it,
2,What is the action of Gymnema and how does it work ?,0000047-3,how does it work,
3,Are there safety concerns or special precautions about Gymnema ?,0000047-4,precautions,
4,Are there interactions between Gymnema and other medications ?,0000047-5,interactions with medications,
5,Are there interactions between Gymnema and herbs and supplements ?,0000047-6,interactions with herbs and supplements,
6,Are there interactions between Gymnema and foods ?,0000047-7,interactions with foods,
7,What is the dosage of Gymnema ?,0000047-8,dose,
0,What is Hibiscus ?,0000048-1,information,
1,How effective is Hibiscus ?,0000048-2,how effective is it,
2,What is the action of Hibiscus and how does it work ?,0000048-3,how does it work,
3,Are there safety concerns or special precautions about Hibiscus ?,0000048-4,precautions,
4,Are there interactions between Hibiscus and other medications ?,0000048-5,interactions with medications,
5,Are there interactions between Hibiscus and herbs and supplements ?,0000048-6,interactions with herbs and supplements,
6,Are there interactions between Hibiscus and foods ?,0000048-7,interactions with foods,
7,What is the dosage of Hibiscus ?,0000048-8,dose,
0,What is Honey ?,0000049-1,information,
1,How effective is Honey ?,0000049-2,how effective is it,
2,What is the action of Honey and how does it work ?,0000049-3,how does it work,
3,Are there safety concerns or special precautions about Honey ?,0000049-4,precautions,
4,Are there interactions between Honey and other medications ?,0000049-5,interactions with medications,
5,Are there interactions between Honey and herbs and supplements ?,0000049-6,interactions with herbs and supplements,
6,Are there interactions between Honey and foods ?,0000049-7,interactions with foods,
7,What is the dosage of Honey ?,0000049-8,dose,
0,What is Hops ?,0000050-1,information,
1,How effective is Hops ?,0000050-2,how effective is it,
2,What is the action of Hops and how does it work ?,0000050-3,how does it work,
3,Are there safety concerns or special precautions about Hops ?,0000050-4,precautions,
4,Are there interactions between Hops and other medications ?,0000050-5,interactions with medications,
